2026-03-01 00:13:49,198 | INFO | === Casablanca Theft Scraper Started ===
2026-03-01 00:13:49,199 | INFO | 🔍 Starting HESPRESS ...
2026-03-01 00:13:49,273 | INFO |    Page 1 → https://hespress.com/?s=سرقة
2026-03-01 00:13:49,273 | ERROR | Request failed https://hespress.com/?s=سرقة (attempt 1/3): name 'requests' is not defined → retry in 1.1s
2026-03-01 00:13:50,365 | ERROR | Request failed https://hespress.com/?s=سرقة (attempt 2/3): name 'requests' is not defined → retry in 2.4s
2026-03-01 00:13:52,725 | ERROR | Request failed https://hespress.com/?s=سرقة (attempt 3/3): name 'requests' is not defined → retry in 4.6s
2026-03-01 00:14:16,027 | INFO | === Casablanca Theft Scraper Started ===
2026-03-01 00:14:16,028 | INFO | 🔍 Starting HESPRESS ...
2026-03-01 00:14:16,028 | INFO |    Page 1 → https://hespress.com/?s=سرقة
2026-03-01 00:14:18,727 | INFO |    No more articles on page 1 → stopping site
2026-03-01 00:14:18,728 | INFO | ✅ Finished hespress (0 processed this run)
2026-03-01 00:14:18,728 | INFO | 🔍 Starting AL3OMK ...
2026-03-01 00:14:18,728 | INFO |    Page 1 → https://al3omk.com/tag/سرقة/
2026-03-01 01:07:46,810 | INFO | === Casablanca Theft Scraper Started ===
2026-03-01 01:07:46,831 | INFO | 🔍 Starting HESPRESS ...
2026-03-01 01:07:46,884 | INFO |    Page 1 → https://hespress.com/?s=سرقة
2026-03-01 01:07:49,564 | INFO |    No more articles on page 1 → stopping site
2026-03-01 01:07:49,564 | INFO | ✅ Finished hespress (0 processed this run)
2026-03-01 01:07:49,564 | INFO | 🔍 Starting AL3OMK ...
2026-03-01 01:07:49,565 | INFO |    Page 1 → https://al3omk.com/tag/سرقة/
2026-03-01 01:08:18,945 | INFO |    Page 2 → https://al3omk.com/tag/سرقة/page/2/
2026-03-01 01:08:54,826 | INFO |    Page 3 → https://al3omk.com/tag/سرقة/page/3/
2026-03-01 01:09:25,029 | INFO |    Page 4 → https://al3omk.com/tag/سرقة/page/4/
2026-03-01 01:09:58,328 | INFO |    Page 5 → https://al3omk.com/tag/سرقة/page/5/
2026-03-01 01:10:29,859 | INFO |    Page 6 → https://al3omk.com/tag/سرقة/page/6/
2026-03-01 21:27:05,135 | INFO | === Casablanca Theft Scraper Started ===
2026-03-01 21:27:05,135 | INFO | 🔍 Starting HESPRESS ...
2026-03-01 21:27:05,136 | INFO |    Page 1 → https://hespress.com/?s=سرقة
2026-03-01 21:27:05,646 | INFO |    No more articles on page 1 → stopping site
2026-03-01 21:27:05,646 | INFO | ✅ Finished hespress (0 processed this run)
2026-03-01 21:27:05,646 | INFO | 🔍 Starting AL3OMK ...
